houseid,hhsize,Age_U18,Age_1924,Age_2545,Age_4665,Age_U65,Age_U24,Male,pr_male,drvrcnt,numadlt,wrkcount,Pr_senior,Pr_adult,White,Black,Asian,AmIndian,Hawai,Mulrace,Other_race,Pr_white,HH_white,Work_hm,Pr_wrkhm,Home_own,Home_rent,Home_other,hhvehcnt,HH_veh,Veh_0,Veh_1,Veh_2,Veh_3,Veh_acces,Veh_avl,hhfaminc,Low_inc,Medium_inc,Hg_inc,Income_low,Urban_big,Rural_Big,wthhfin,BKSH,RDSH,NOSH,Sanjose,Newyork,Atlanta,Chicago,Low_BK,Low_RD,high_RD,Veh0_BK,Veh0_RD,Rural_BK,Rural_RD,N_BK,N_RD,C_BK,C_RD,C_RD_SEnior,INCLW_bk,INCLW_rd,VMTwt_HH,LN_VMTHH
30001262,2,0,0,0,2,0,0,1,.5,2,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,1,0,1,1,06,0,1,0,1,1,0,3211.10272691877,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33985.0172410531,10.4337044613926
30001381,2,0,0,0,0,2,0,1,.5,2,2,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,07,0,1,0,1,1,0,34.59759889861,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10967.1117997187,9.30274741445413
30001396,2,0,0,2,0,0,0,1,.5,2,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,.5,0,06,0,1,0,1,1,0,3831.97520584778,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4096.38847663337,8.31810509283047
30001409,2,0,0,0,2,0,0,0,0,2,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,11,0,0,1,0,1,0,3278.22091095503,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38769.8630024554,10.5654242899595
30001475,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,06,0,1,0,1,1,0,356.52917961303,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16771.1964987404,9.72747782410208
30001485,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,03,1,0,0,1,1,0,281.65576876673,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565.29650433293,7.35646919728293
30001608,2,0,0,2,0,0,0,1,.5,2,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,1,0,1,1,08,0,1,0,0,1,0,401.56167373393,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33342.9255520347,10.4146308923861
30001625,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,01,1,0,0,1,1,0,3858.03199804864,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2767.67442786507,7.92612393874467
30001645,2,0,0,0,1,1,0,1,.5,2,2,1,.5,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,06,0,1,0,1,1,0,215.54123458391,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860.71780199927,7.52925488995981
30001755,2,0,0,0,0,2,0,1,.5,2,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,1,1,06,0,1,0,1,1,0,750.75485692093,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49323.3828799492,10.8061738195089
30001774,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,05,0,1,0,1,1,0,805.33156588339,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1393.65126725825,7.24039967537485
30001917,3,0,0,2,0,0,0,1,.333333333333333,2,2,2,0,.666666666666667,2,0,0,0,0,0,0,.666666666666667,0,0,0,1,0,0,2,2,0,0,1,0,1,1,08,0,1,0,0,1,0,2637.6701604172,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52406.2398456495,10.8668000257585
30001938,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,01,1,0,0,1,1,0,15927.3041870785,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.142804983533,6.90789807377001
